season,week,begin_date,final_date
2016,1,2016-08-27T00:00:00Z,2016-09-06T00:00:00Z
2016,2,2016-09-09T00:00:00Z,2016-09-11T00:00:00Z
2016,3,2016-09-15T00:00:00Z,2016-09-18T00:00:00Z
2016,4,2016-09-22T00:00:00Z,2016-09-25T00:00:00Z
2016,5,2016-09-30T00:00:00Z,2016-10-02T00:00:00Z
2016,6,2016-10-06T00:00:00Z,2016-10-09T00:00:00Z
2016,7,2016-10-13T00:00:00Z,2016-10-16T00:00:00Z
2016,8,2016-10-20T00:00:00Z,2016-10-23T00:00:00Z
2016,9,2016-10-27T00:00:00Z,2016-10-30T00:00:00Z
2016,10,2016-11-02T00:00:00Z,2016-11-06T00:00:00Z
2016,11,2016-11-09T00:00:00Z,2016-11-13T00:00:00Z
2016,12,2016-11-16T00:00:00Z,2016-11-20T00:00:00Z
2016,13,2016-11-23T00:00:00Z,2016-11-27T00:00:00Z
2016,14,2016-12-03T00:00:00Z,2016-12-04T00:00:00Z
2016,15,2016-12-10T00:00:00Z,2016-12-10T00:00:00Z
2016,16,2016-12-17T00:00:00Z,2017-01-10T00:00:00Z
2017,1,2017-08-26T00:00:00Z,2017-09-05T00:00:00Z
2017,2,2017-09-08T00:00:00Z,2017-09-10T00:00:00Z
2017,3,2017-09-15T00:00:00Z,2017-09-17T00:00:00Z
2017,4,2017-09-21T00:00:00Z,2017-09-24T00:00:00Z
2017,5,2017-09-29T00:00:00Z,2017-10-01T00:00:00Z
2017,6,2017-10-05T00:00:00Z,2017-10-08T00:00:00Z
2017,7,2017-10-12T00:00:00Z,2017-10-15T00:00:00Z
2017,8,2017-10-19T00:00:00Z,2017-10-22T00:00:00Z
2017,9,2017-10-26T00:00:00Z,2017-10-29T00:00:00Z
2017,10,2017-11-01T00:00:00Z,2017-11-05T00:00:00Z
2017,11,2017-11-08T00:00:00Z,2017-11-12T00:00:00Z
2017,12,2017-11-15T00:00:00Z,2017-11-19T00:00:00Z
2017,13,2017-11-22T00:00:00Z,2017-11-26T00:00:00Z
2017,14,2017-12-02T00:00:00Z,2017-12-03T00:00:00Z
2017,15,2017-12-09T00:00:00Z,2017-12-09T00:00:00Z
2017,16,2017-12-16T00:00:00Z,2018-01-09T00:00:00Z
2018,1,2018-08-25T00:00:00Z,2018-09-04T00:00:00Z
2018,2,2018-09-08T00:00:00Z,2018-09-09T00:00:00Z
2018,3,2018-09-12T00:00:00Z,2018-09-16T00:00:00Z
2018,4,2018-09-20T00:00:00Z,2018-09-23T00:00:00Z
2018,5,2018-09-28T00:00:00Z,2018-09-30T00:00:00Z
2018,6,2018-10-04T00:00:00Z,2018-10-07T00:00:00Z
2018,7,2018-10-10T00:00:00Z,2018-10-14T00:00:00Z
2018,8,2018-10-18T00:00:00Z,2018-10-21T00:00:00Z
2018,9,2018-10-24T00:00:00Z,2018-10-28T00:00:00Z
2018,10,2018-10-31T00:00:00Z,2018-11-04T00:00:00Z
