season,season_type,week,poll,rank,points,school
2022,regular,6,AP Top 25,1,1523,Alabama
2022,regular,6,AP Top 25,2,1521,Georgia
2022,regular,6,AP Top 25,3,1488,Ohio State
2022,regular,6,AP Top 25,4,1348,Michigan
2022,regular,6,AP Top 25,5,1345,Clemson
2022,regular,6,AP Top 25,6,1233,USC
2022,regular,6,AP Top 25,7,1182,Oklahoma State
2022,regular,6,AP Top 25,8,1129,Tennessee
2022,regular,6,AP Top 25,9,1068,Ole Miss
2022,regular,6,AP Top 25,10,959,Penn State
2022,regular,6,AP Top 25,11,884,Utah
2022,regular,6,AP Top 25,12,872,Oregon
2022,regular,6,AP Top 25,13,832,Kentucky
2022,regular,6,AP Top 25,14,691,NC State
2022,regular,6,AP Top 25,15,627,Wake Forest
2022,regular,6,AP Top 25,16,604,BYU
2022,regular,6,AP Top 25,17,514,TCU
2022,regular,6,AP Top 25,18,510,UCLA
2022,regular,6,AP Top 25,19,476,Kansas
2022,regular,6,AP Top 25,20,417,Kansas State
2022,regular,6,AP Top 25,21,180,Washington
2022,regular,6,AP Top 25,22,173,Syracuse
2022,regular,6,AP Top 25,23,164,Mississippi State
2022,regular,6,AP Top 25,24,134,Cincinnati
2022,regular,6,AP Top 25,25,108,LSU
